s1,s2,score
Ex-Donald Trump staffers accuse him of sexual harassment in the White House,President Trump accused of innapropriate sexual behavior while in office,0.9333333333
"Rudy Giuliani said he and Trump were selling pardons for $2m apiece, ex-aide claims",All someone had to do was pay president trump a few mil and they would never face charges!,0.8
E. Jean Carroll May Sue Trump a Third Time After ‘Vile’ Comments on CNN,Trump may have charges pressed against him regarding his innapropriate remarks on Fox News this morning ,0.6666666667
The college student who tracks Elon Musk's private jet on Twitter is now monitoring the jet used by Ron DeSantis,Both the Tesla CEO and the Florida govenor are having their planes tracked  ,0.6666666667
Bernie Sanders Calls For Confiscating All Money People Make Over $999 Million Per Year,The democratic senator from vermont thinks the government should take all earnings over 1 billion dollars ,0.8
Ocasio-Cortez on Trump town hall: ‘CNN should be ashamed of themselves’,AOC is not happy with how CNN handeled the Trump interview,0.9333333333
Biden calls on Congress to act after Texas mall massacre: ‘Such an attack is too shocking to be so familiar’,The president asks congress to deploy stricter gun laws ,0.4666666667
"‘MAGA movement’ widely unpopular, new poll finds","It seems that people no longer support ""make america great again"" ",0.8666666667
A Fox News poll found that 61% of Americans support a ban on assault weapons,"According to fox news, most americans want to ban AR-15s",0.8
Montana Republican Lawmaker Suggested She'd Prefer Her Daughter Die By Suicide Than Transition,Politician makes insensitive comment towards the transgender community ,0.6666666667
Ex-Donald Trump staffers accuse him of sexual harassment in the White House,Bill Clinton has been charged with sexual misconduct,0.3333333333
"Rudy Giuliani said he and Trump were selling pardons for $2m apiece, ex-aide claims","Rudy Giuliani, former mayor of new york, has been accused of accepting illegal payments",0.4666666667
E. Jean Carroll May Sue Trump a Third Time After ‘Vile’ Comments on CNN,E. Jean Carroll may sue former present trump ,0.8
The college student who tracks Elon Musk's private jet on Twitter is now monitoring the jet used by Ron DeSantis,Celebrities and politicans are being tracked on social media sites ,0.4666666667
Bernie Sanders Calls For Confiscating All Money People Make Over $999 Million Per Year,Democratic senator bernie sanders proposes a new anti-billionaire policy ,0.6
Ocasio-Cortez on Trump town hall: ‘CNN should be ashamed of themselves’,Stay tuned for AOC's take on the trump town hall ,0.3333333333
Biden calls on Congress to act after Texas mall massacre: ‘Such an attack is too shocking to be so familiar’,Biden calls the texas mall massacre a national tragedy ,0.6666666667
"‘MAGA movement’ widely unpopular, new poll finds",We are starting to see a marginal decline in support for MAGA ,0.4666666667
A Fox News poll found that 61% of Americans support a ban on assault weapons,A poll from CNN found that over half of americans support stricter gun laws,0.6666666667
Montana Republican Lawmaker Suggested She'd Prefer Her Daughter Die By Suicide Than Transition,Republican lawmaker from montana does not support transgender people ,0.7333333333
Ex-Donald Trump staffers accuse him of sexual harassment in the White House,Barack Obama faced many legal accusations while in the white house ,0.4
"Rudy Giuliani said he and Trump were selling pardons for $2m apiece, ex-aide claims",Trump and Giuliani will not be available to the press today,0.06666666667
E. Jean Carroll May Sue Trump a Third Time After ‘Vile’ Comments on CNN,Trump was oddly nice to the reporteres on CNN today ,0.1333333333
The college student who tracks Elon Musk's private jet on Twitter is now monitoring the jet used by Ron DeSantis,Elon Musk boasts about the release of an untrackable private jet to be used by the rich and famous ,0.06666666667
Bernie Sanders Calls For Confiscating All Money People Make Over $999 Million Per Year,Bernie sanders believes that becoming a billionare is the american dream and that the government should not interfere with the ultra-wealthy,0.2
Ocasio-Cortez on Trump town hall: ‘CNN should be ashamed of themselves’,AOC praises CNN for the intelligent questions asked at the Trump town hall ,0.2
Biden calls on Congress to act after Texas mall massacre: ‘Such an attack is too shocking to be so familiar’,president obama addresses congress during his visit to texas ,0.06666666667
"‘MAGA movement’ widely unpopular, new poll finds",New study suggests MAGA is still thriving ,0.2
A Fox News poll found that 61% of Americans support a ban on assault weapons,CNN poll suggests americans want less gun regulation ,0.2
Montana Republican Lawmaker Suggested She'd Prefer Her Daughter Die By Suicide Than Transition,Montana Republican Lawmaker makes brave statement in support of the trans community ,0.2
Antisemitism is surging across US. Biden just took a historic step to fight it.,joe biden just signed a historic document ,0.4
Leaked recording shows DeSantis supporters worried about abortion ban,TMZ leaks trump video,0.2
Elon Musk pledges to lobby for criminalizing healthcare interventions for transgender youth,Elon Musk with harsh comments on transgender youth ,0.6
Utah primary schools ban Bible for 'vulgarity and violence',The old testament is off limits at utah schools starting this year ,0.7333333333
Independent Sen. Krysten Sinema continues using liberal platforms to fundraise for 2024 reelection campaign,Sen. Kyrsten Sinema still uses platforms typically utilized by Democrats and progressives to raise money ,0.9333333333
Governors Kathy Hochul & Phil Murphy join 8 other governors in opposing school textbook censorship,My favorite book i read in school was The Great Gatsby,0.06666666667
Governors Kathy Hochul & Phil Murphy join 8 other governors in opposing school textbook censorship,The New Jersey and New York govenors  oppose censorship of school textbooks.,0.8666666667
Elon Musk pledges to lobby for criminalizing healthcare interventions for transgender youth,healthcare interventions are a contentious topic,0.3333333333
‘Turd Sandwich’: MAGA Members of Congress Hate on Debt Deal,Why don't you go eat a turd sandwhich? I hate you. ,0.06666666667
Oklahoma Supreme Court Rules Abortion Laws Unconstitutional,Epidemiologists fear a rise in illegal abortions ,0.4
Ron DeSantis praised Anthony Fauci for Covid response in spring 2020 for ‘really doing a good job’,Desantis and Fauci are discussing COVID-19 ,0.4
Utah primary schools ban Bible for 'vulgarity and violence',Utah primary schools to teach the bible every morning ,0.2
"Senate passes debt limit bill with 63-36 vote, allowing U.S. to avoid default.","Congress passes debt limit bill with 63-36 vote, allowing U.S. to avoid default.",0.8
‘Turd Sandwich’: MAGA Members of Congress Hate on Debt Deal,Congressional trump supporters despise the debt deal,0.9333333333
"How California, land of Nixon and Reagan, turned blue and changed American politics","Nixon and Raegan took cali from red to blue, changing the US forever ",0.8
Florida faces ‘mass migration’ as trans people flee state in fear of Ron DeSantis’ ‘hateful bills’,Ron Desantis' conservative views leave democratic voters concerned ,0.5333333333
Florida faces ‘mass migration’ as trans people flee state in fear of Ron DeSantis’ ‘hateful bills’,Ron Desantis welcomes a 'mass migration' of trans people to come stay at his florida home ,0.2666666667
Florida faces ‘mass migration’ as trans people flee state in fear of Ron DeSantis’ ‘hateful bills’,Anti-trans laws in florida have LGBTQ+ people moving to new areas of the country ,0.9333333333
Oklahoma Supreme Court Rules Abortion Laws Unconstitutional,Abortion may become illegal in Oklahoma ,0.6
‘Turd Sandwich’: MAGA Members of Congress Hate on Debt Deal,republicans of congeress have concerns regarding the new debt deal ,0.6
Pentagon buying Starlink dishes for Ukraine after funding dispute with SpaceX,The US is helping Ukraine get internet access,0.7333333333
Independent Sen. Krysten Sinema continues using liberal platforms to fundraise for 2024 reelection campaign,Krysten Sinema's campaign is in desparate need of a cash infusion ,0.3333333333
The Texas House has voted to impeach Texas Attorney General Paxton by a vote of 121-23,The Texas House has voted to impeach Texas Attorney General Paxton by a vote of 124-20,0.8
